id;hotel_id;name;description;adresse;stars_number;emergency_number
1;10130;transparent;Computers expedite Terrace;Identity structure Polarised;9751;58206
2;4175;copy Soft toolset;Unbranded;FTP;58578;9140
3;6644;Global payment;connecting Small;Handcrafted Bacon CSS;88724;71122
4;19047;Swaziland Gorgeous;Indiana;Liaison;77970;19635
5;65705;proactive Bacon Hawaii;EXE;Arabia Bedfordshire;25008;67183
6;35942;Devolved;Security Utah rich;transition Devolved invoice;74035;92438
7;26190;Frozen fuchsia Small;infrastructures monitor;parallelism Heights;36988;14828
8;62025;Unbranded maroon;payment Sleek;Producer payment;52472;48776
9;45657;Rustic;function;Rustic Concrete Assurance;59742;1978
10;31098;connecting;leverage Mountains Chief;Cotton;94436;44947
